Spanish,German
pagar,bezahlen
ayudar,helfen
gustar,gefallen
jugar,spielen
escuchar,zuhören
cumplir,erfüllen
ofrecer,anbieten
descubrir,entdecken
levantar,heben/aufstehen
intentar,versuchen
usar,verwenden
decidir,entscheiden
repetir,wiederholen
servir,dienen/nützlich sein
formar,formen/bilden
crear,erschaffen
abrir,öffnen
cerrar,schließen
ganar,gewinnen
aprender,lernen
comprender,verstehen/begreifen
considerar,berücksichtigen
oír,hören
aceptar,akzeptieren
mantener,behalten/erhalten
mostrar,zeigen
incluir,einschließen
continuar,fortsetzen
cambiar,ändern/wechseln
presentar,vorstellen/präsentieren
imaginar,sich vorstellen
expresar,ausdrücken
reducir,verringern
aumentar,erhöhen
evitar,vermeiden
controlar,kontrollieren
organizar,organisieren
desarrollar,entwickeln
mejorar,verbessern
aplicar,anwenden
participar,teilnehmen
resolver,lösen
rechazar,ablehnen
finalizar,beenden/abschließen
analizar,analysieren
proteger,schützen
evaluar,bewerten
superar,überwinden
responder,antworten
caminar,gehen/spazieren
sentarse,sich setzen
levantarse,aufstehen
comer,essen
beber,trinken
dormir,schlafen
leer,lesen
comprar,kaufen
vender,verkaufen
subir,hochgehen/erhöhen
bajar,runtergehen/verringern
parar,aufhören/stoppen
necesitar,brauchen
trabajo,Arbeit
tiempo,Zeit
día,Tag
año,Jahr
vida,Leben
mano,Hand
parte,Teil
lugar,Ort/Platz
caso,Fall
grupo,Gruppe
problema,Problem
hecho,Tatsache
persona,Person
mundo,Welt
familia,Familie
historia,Geschichte
ejemplo,Beispiel
sistema,System
programa,Programm
palabra,Wort
número,Zahl/Nummer
forma,Form
nivel,Niveau/Ebene
proceso,Prozess
servicio,Service/Dienst
mercado,Markt
empresa,Firma/Unternehmen
gobierno,Regierung
sociedad,Gesellschaft
estado,Staat/Zustand
ciudad,Stadt
país,Land
semana,Woche
mes,Monat
hora,Stunde
momento,Moment
camino,Weg
voz,Stimme
cuerpo,Körper
mente,Geist
idea,Idee
resultado,Ergebnis
objetivo,Ziel
razón,Grund
valor,Wert
fuerza,Kraft/Stärke
ley,Gesetz
precio,Preis
control,Kontrolle
respuesta,Antwort
decisión,Entscheidung
información,Information
experiencia,Erfahrung
conocimiento,Wissen
realidad,Realität
imagen,Bild
actividad,Aktivität
relación,Beziehung
situación,Situation
condición,Bedingung
posibilidad,Möglichkeit
necesidad,Notwendigkeit
capacidad,Fähigkeit
importancia,Bedeutung/Wichtigkeit
diferencia,Unterschied
calidad,Qualität
cantidad,Menge
posición,Position
dirección,Richtung/Adresse
sentido,Sinn
efecto,Effekt
causa,Ursache
origen,Ursprung
destino,Ziel/Ort
inicio,Anfang
final,Ende
casa,Haus
cosa,Ding/Sache
hombre,Mann/Mensch
mujer,Frau
niño,Kind (m)
niña,Kind (f)
padre,Vater
madre,Mutter
hijo,Sohn
hija,Tochter
amigo,Freund
amor,Liebe
agua,Wasser
comida,Essen
pan,Brot
casa,Haus
coche,Auto
calle,Straße
puerta,Tür
ventana,Fenster
mesa,Tisch
silla,Stuhl
libro,Buch
escuela,Schule
trabajo,Arbeit
dinero,Geld
tiempo,Zeit/Wetter
sol,Sonne
luna,Mond
noche,Nacht
mañana,Morgen
tarde,Nachmittag
nuevo,neu
viejo,alt
grande,groß
pequeño,klein
bueno,gut
malo,schlecht
bonito,hübsch/schön
fácil,einfach
difícil,schwierig
rápido,schnell
lento,langsam
alto,hoch/groß
bajo,niedrig/klein
largo,lang
corto,kurz
primero,erste(r)
último,letzte(r)
mismo,selbe
otro,anderer
todo,ganz/alles
alguno,einige
ninguno,keiner
mucho,viel
poco,wenig
todo,alles
nada,nichts
alguien,jemand
nadie,niemand
todos,alle
muchos,viele
pocos,wenige
tres,drei
cuatro,vier
cinco,fünf
seis,sechs
siete,sieben
ocho,acht
nueve,neun
diez,zehn
ciento,hundert
mil,tausend
millón,Million
grande,groß
pequeño,klein
nuevo,neu
viejo,alt
bueno,gut
malo,schlecht
mejor,besser
peor,schlechter
fácil,einfach
difícil,schwierig
importante,wichtig
posible,möglich
imposible,unmöglich
real,real/wirklich
falso,falsch
la cabeza,der Kopf
el ojo,das Auge
la oreja,das Ohr
la nariz,die Nase
la boca,der Mund
el brazo,der Arm
la pierna,die Bein
el pie,der Fuß
el corazón,das Herz
la sangre,das Blut
el dolor,der Schmerz
la salud,die Gesundheit
el cielo,der Himmel
la estrella,der Stern
la tierra,die Erde
el mar,das Meer
la playa,der Strand
el árbol,der Baum
la flor,die Blume
el aire,die Luft
el fuego,das Feuer
el viento,der Wind
la lluvia,der Regen
la nieve,der Schnee
el frío,die Kälte
el calor,die Hitze
la ropa,die Kleidung
la camisa,das Hemd
la camiseta,das T-Shirt
los pantalones,die Hose
el vestido,das Kleid
la chaqueta,die Jacke
los zapatos,die Schuhe
el sombrero,der Hut
el bolso,die Tasche
feliz,glücklich
triste,traurig
cansado,müde
enojado,wütend
preocupado,besorgt
seguro,sicher
libre,frei
fuerte,stark
débil,schwach
limpio,sauber
sucio,schmutzig
pobre,arm
rico,reich
lleno,voll
vacío,leer
la leche,die Milch
el café,der Kaffee
el té,der Tee
el zumo,der Saft
la fruta,das Obst
la verdura,die Gemüse
la carne,das Fleisch
el pescado,der Fisch
el huevo,das Ei
el azúcar,der Zucker
la sal,das Salz
la cuenta,die Rechnung
el piso,die Wohnung
la cocina,die Küche
el baño,das Bad
la cama,das Bett
la luz,das Licht
el teléfono,das Telefon
la llave,der Schlüssel
el papel,das Papier
el bolígrafo,der Kugelschreiber
la computadora,der Computer
el reloj,die Uhr
temprano,früh
tarde,spät
ayer,gestern
hoy,heute
mañana,morgen
luego,später
pronto,bald
siempre,immer
nunca,nie
a veces,manchmal
quizás,vielleicht
bastante,ziemlich
demasiado,zu viel
casi,fast
despacio,langsam
contra,gegen
entre,zwischen
según,laut
sin,ohne
además,außerdem
aunque,obwohl
mientras,während
el viaje,die Reise
el avión,das Flugzeug
el tren,der Zug
el autobús,der Bus
la estación,der Bahnhof
el aeropuerto,der Flughafen
el hotel,das Hotel
el mapa,die Karte
el campo,das Land
la montaña,der Berg
el bosque,der Wald
la suerte,das Glück
la paz,der Frieden
la guerra,der Krieg
el peligro,die Gefahr
el éxito,der Erfolg
la ayuda,die Hilfe
